database_ingredient,Energy,Protein,Total water,Thiamin (B1),Riboflavin (B2),Niacin,Pyridoxine (B6),Cobalamin (B12),Vitamin A,Vitamin C,Vitamin D,Vitamin E,Calcium,Phosphorus,Zinc,Iron,Magnesium,Sodium,Potassium
"Apple, fuji, unpeeled, raw",2.45,0.003,0.841,0,0,0.001,0,0,0.01,0.05,0,0.004,0.06,0.08,0.001,0,0.04,0.02,0.91
"Apple, golden delicious, unpeeled, raw",2.02,0.003,0.849,0,0,0.001,0,0,0.02,0.05,0,0.013,0.04,0.08,0.001,0.002,0.04,0.02,0.9
"Apple, granny-smith, unpeeled, raw",2.02,0.003,0.852,0,0,0.001,0.001,0,0.01,0.05,0,0.002,0.05,0.09,0.001,0.002,0.04,0.01,1.08
"Apple, jonathon, unpeeled, raw",2.26,0.003,0.84,0,0,0.001,0,0,0.01,0.05,0,0.002,0.04,0.09,0.001,0.002,0.04,0.01,1.1
"Apple, pink lady, unpeeled, raw",2.42,0.002,0.84,0,0,0,0,0,0.04,0.09,0,0,0.04,0.1,0,0,0.05,0.01,1.2
"Apple, red delicious, unpeeled, raw",2.48,0.003,0.845,0,0,0.001,0,0,0.02,0.06,0,0.002,0.05,0.09,0.001,0.002,0.04,0.01,1.02
"Apple, royal gala, unpeeled, raw",2.22,0.004,0.867,0,0,0.003,0,0,0.04,0.02,0,0.001,0.05,0.09,0,0.001,0.06,0.01,1.1
"Apple, red skin, unpeeled, raw",2.4,0.002,0.845,0,0,0.001,0,0,0.04,0.07,0,0.001,0.05,0.09,0,0,0.05,0.01,1.13
"Apple, green skin, unpeeled, raw",2.02,0.003,0.85,0,0,0.001,0.001,0,0.02,0.05,0,0.008,0.04,0.08,0.001,0.002,0.04,0.02,0.99
"Apricot, raw",1.67,0.002,0.854,0,0,0.001,0,0,3.85,0.03,0,0.008,0.13,0.24,0.001,0.003,0.12,0,2.9
"Apricot, dried",8.86,0.043,0.296,0,0,0.032,0.001,0,3.97,0.01,0,0.005,0.67,1.2,0.008,0.031,0.57,0.37,15.1
"Apricot, canned in pear juice",1.92,0.008,0.857,0,0,0.007,0,0,0.96,0.05,0,0.004,0.12,0.17,0.003,0.005,0.1,0.04,1.89
"Apricot, canned in pear juice, drained",1.96,0.01,0.849,0,0,0.008,0.001,0,1.63,0.05,0,0.006,0.15,0.2,0.003,0.005,0.1,0.03,1.4
"Apricot, canned in pear juice, juice only",1.87,0.005,0.869,0,0,0.006,0,0,0,0.05,0,0,0.07,0.12,0.002,0.004,0.09,0.05,2.6
"Banana, cavendish, peeled, raw",3.94,0.014,0.762,0,0,0.007,0.002,0,0.06,0.04,0,0.001,0.05,0.21,0.002,0.003,0.31,0,3.46
"Banana, lady finger or sugar, peeled, raw",4.74,0.015,0.688,0,0.001,0.008,0.002,0,0.08,0.19,0,0.001,0.1,0.21,0.002,0.004,0.38,0.02,3.2
"Blackberry, raw",2.11,0.014,0.846,0,0,0.006,0,0,0.53,0.38,0,0.014,0.3,0.29,0.002,0.004,0.3,0,1.14
"Blueberry, raw",1.94,0.005,0.836,0,0,0.001,0,0,0,0.02,0,0.006,0.11,0.11,0.001,0.004,0.06,0.02,0.83
"Blueberry, purchased frozen",1.99,0.005,0.831,0,0,0.001,0,0,0,0.02,0,0.005,0.11,0.11,0.001,0.004,0.06,0.02,0.77
"Cherry, raw",2.5,0.008,0.828,0,0,0.006,0.001,0,0.09,0.19,0,0.004,0.22,0.21,0.001,0.003,0.08,0,2.3
"Cherry, black, canned in syrup",2.99,0.007,0.793,0,0,0,0.001,0,0.06,0,0,0.001,0.08,0.11,0.001,0.014,0.07,0.04,1.25
"Cherry, black, canned in syrup, drained",3.1,0.009,0.788,0,0,0.001,0.001,0,0.12,0,0,0.001,0.1,0.13,0.001,0.016,0.08,0.05,1.3
"Cherry, black, canned in syrup, syrup only",2.88,0.005,0.798,0,0,0,0.001,0,0,0,0,0,0.06,0.09,0,0.012,0.06,0.03,1.2
"Cumquat (kumquat), raw",2.66,0.019,0.808,0,0.001,0.01,0,0,0.29,0.44,0,0.002,0.62,0.19,0.002,0.009,0.2,0.1,1.86
"Cranberry, raw",1.31,0.005,0.873,0,0,0.001,0.001,0,0.06,0.14,0,0.013,0.08,0.11,0.001,0.002,0.06,0.02,0.8
"Cranberry, dried, sweetened",13.3,0.002,0.158,0,0,0.006,0,0,0.04,0,0,0.021,0.09,0.08,0.001,0.004,0.04,0.05,0.49
"Currant, dried",11.67,0.028,0.172,0.001,0,0.014,0.003,0,0.02,0,0,0.001,0.87,0.96,0.005,0.023,0.43,0.46,8.1
"Custard apple, African pride, peeled, raw",3.26,0.014,0.787,0.001,0.001,0.009,0.002,0,0.01,0.43,0,0.003,0.17,0.21,0.002,0.003,0.32,0.04,2.5
"Date, dried",12.12,0.02,0.16,0,0.001,0.016,0.002,0,0.03,0.05,0,0.001,0.47,0.58,0.006,0.026,0.5,0.14,7.3
"Feijoa, raw",1.76,0.006,0.854,0,0,0.004,0.001,0,0.05,0.3,0,0.002,0.06,0.14,0.001,0.001,0.07,0.02,1.24
"Fig, dried",10.82,0.036,0.213,0.001,0,0.009,0.001,0,0.02,0,0,0.004,2,0.67,0.005,0.014,0.73,0.39,7.8
"Fig, fresh, unpeeled, raw",1.95,0.014,0.859,0,0,0.006,0.001,0,0.25,0.03,0,0.001,0.38,0.14,0.003,0.003,0.09,0.03,1.8
"Fruit salad, canned in fruit juice",2,0.007,0.853,0,0,0.005,0,0,0.64,0.04,0,0.003,0.06,0.13,0.003,0.004,0.1,0.04,1.5
"Fruit salad, canned in fruit juice, drained",2.07,0.008,0.846,0,0,0.006,0,0,1.08,0.04,0,0.003,0.06,0.14,0.003,0.004,0.11,0.04,1.35
"Fruit salad, canned in fruit juice, juice only",1.91,0.004,0.863,0,0,0.004,0,0,0.03,0.04,0,0.002,0.06,0.12,0.003,0.003,0.08,0.04,1.7
"Goji berry, dried",12.44,0.119,0.152,0,0.001,0.053,0,0,0.63,0.06,0,0.025,0.53,2,0.008,0.037,0.84,4.5,14
"Grape, black muscatel/muscat, raw",3.49,0.011,0.75,0,0.001,0.007,0,0,0.12,0.07,0,0.005,0.09,0.19,0.001,0.003,0.08,0.08,1.6
"Grape, black sultana, raw",2.78,0.012,0.792,0,0,0.006,0,0,0.09,0.05,0,0.005,0.11,0.19,0.001,0.002,0.09,0.03,1.5
"Grape, green, raw",2.73,0.008,0.818,0,0,0.001,0,0,0,0,0,0.002,0.1,0.26,0,0.004,0.08,0,2.2
"Grape, cornichon, raw",2.57,0.013,0.821,0,0,0.006,0,0,0.09,0.07,0,0.005,0.05,0.19,0.001,0.002,0.08,0.03,1.9
"Grape, red globe, raw",3.22,0.009,0.807,0,0,0.001,0,0,0,0,0,0.005,0.1,0.19,0.002,0.004,0.08,0.05,2.7
"Grape, waltham cross, raw",2.81,0.008,0.802,0,0,0.005,0,0,0.08,0.07,0,0.002,0.12,0.27,0.001,0.002,0.06,0.06,1.8
"Grapefruit, peeled, raw",1.25,0.009,0.89,0,0,0.006,0,0,0.02,0.36,0,0.002,0.21,0.18,0.001,0.002,0.08,0.04,1.2
"Guava, Hawaiian, raw",1.44,0.007,0.872,0,0,0.011,0.001,0,0.72,2.43,0,0.007,0.1,0.4,0.001,0.002,0.12,0.04,1.5
"Jackfruit, peeled, raw",3.47,0.022,0.754,0,0.001,0.013,0.003,0,1.88,0.06,0,0.003,0.18,0.21,0.008,0.008,0.14,0.03,3.5
"Kiwifruit, green (hayward), peeled, raw",2.3,0.012,0.838,0,0.001,0.004,0.004,0,0.09,0.85,0,0.011,0.28,0.31,0.001,0.003,0.15,0.02,2.79
"Kiwifruit, gold, peeled, raw",2.44,0.012,0.826,0,0.001,0.006,0.001,0,0.08,1.1,0,0.01,0.18,0.26,0.001,0.002,0.14,0.03,3.06
"Lemon, peeled, raw",1.15,0.006,0.89,0,0,0.002,0.001,0,0.02,0.48,0,0.002,0.2,0.16,0.001,0.003,0.09,0.02,1.2
"Lemon peel, raw",1.21,0.015,0.816,0.001,0.001,0.005,0.002,0,0.05,1.29,0,0.003,1.34,0.12,0.003,0.008,0.15,0.06,1.6
"Lemon, preserved",1.02,0.007,0.774,0,0,0.003,0.001,0,0.02,0.55,0,0.001,0.4,0.14,0.001,0.004,0.09,44.49,1.14
"Lime, peeled, raw",1.22,0.008,0.876,0,0,0.003,0,0,0.05,0.47,0,0.002,0.22,0.18,0.001,0.003,0.11,0.03,1.5
"Loquat, peeled, raw",1.22,0.01,0.906,0,0,0.005,0.001,0,0.86,0.04,0,0.001,0.13,0.27,0.004,0.005,0.07,0.02,1.8
"Lychee, peeled, raw",2.96,0.011,0.806,0.001,0.001,0.007,0.001,0,0,0.49,0,0.001,0.02,0.31,0.006,0.005,0.07,0.01,1.5
"Mandarin, peeled, raw",1.95,0.009,0.86,0,0,0.001,0.001,0,0.66,0.28,0,0.001,0.29,0.19,0.001,0,0.13,0.03,1.8
"Mandarin, canned in syrup",2.4,0.004,0.842,0,0,0,0,0,0.12,0.11,0,0,0.07,0.08,0.001,0.004,0.06,0.05,0.72
"Mandarin, canned in syrup, drained",2.54,0.005,0.839,0,0,0,0,0,0.22,0.11,0,0,0.09,0.09,0.001,0.004,0.06,0.06,0.72
"Mandarin, canned in syrup, syrup only",2.23,0.002,0.846,0,0,0,0,0,0,0.12,0,0,0.05,0.06,0.001,0.003,0.05,0.04,0.72
"Mango, peeled, raw",2.37,0.004,0.841,0.001,0,0.001,0.001,0,1.37,0.24,0,0.009,0.09,0.14,0.001,0.002,0.1,0,1.53
"Mango, pulped, canned",2.59,0.004,0.828,0,0,0.001,0,0,0.98,0.12,0,0.008,0.08,0.13,0.001,0.002,0.09,0,1.32
"Melon, honey dew, white skin, peeled, raw",1.49,0.007,0.898,0,0,0.003,0.001,0,0.05,0.2,0,0,0.39,0.11,0.002,0.003,0.16,0.44,1.6
"Melon, honey dew, yellow skin, peeled, raw",1.07,0.008,0.927,0,0,0.003,0.001,0,0.09,0.12,0,0,0.38,0.11,0.001,0.004,0.09,0.4,1.5
"Melon, rockmelon, peeled, raw",0.99,0.005,0.912,0,0,0.002,0,0,1.3,0.34,0,0,0.07,0.14,0.001,0.002,0.08,0.14,2.15
"Melon, watermelon, peeled, raw",1.33,0.006,0.916,0,0,0.001,0,0,0.48,0.04,0,0,0.05,0.14,0.001,0.001,0.12,0.03,1.22
Mixed dried fruit,12.41,0.024,0.184,0.001,0,0.006,0.002,0,0.02,0.01,0,0.002,0.57,0.74,0.003,0.016,0.32,0.18,7.33
"Mulberry, raw",1.39,0.022,0.893,0,0,0.012,0.001,0,0.02,0.1,0,0.009,0.2,0.38,0.002,0.003,0.12,0.06,3.1
"Nectarine, yellow, unpeeled, raw",1.78,0.008,0.863,0,0,0.001,0,0,0.08,0.01,0,0.008,0.04,0.28,0.001,0,0.09,0,2.4
"Orange, peeled, raw",1.75,0.01,0.867,0.001,0,0.002,0.001,0,0.08,0.52,0,0.001,0.23,0.24,0.001,0,0.12,0,1.9
"Orange, navel, peeled, raw",1.74,0.01,0.864,0.001,0,0.003,0.001,0,0.06,0.52,0,0.001,0.23,0.24,0.001,0,0.12,0,1.9
"Orange, valencia, peeled, raw",1.75,0.01,0.876,0.001,0,0.001,0.001,0,0.12,0.52,0,0.001,0.23,0.24,0.001,0,0.12,0,1.9
"Passionfruit, raw",3.04,0.03,0.744,0,0.001,0.032,0.001,0,1.25,0.18,0,0,0.1,0.68,0.008,0.006,0.28,0.19,2
"Passionfruit, pulp, canned",4.24,0.015,0.702,0,0.001,0.016,0.001,0,0.62,0.09,0,0,0.06,0.34,0.004,0.003,0.14,0.1,1
"Pawpaw (papaya), peeled, raw",1.42,0.004,0.893,0,0,0.004,0,0,1.52,0.6,0,0.003,0.28,0.1,0.003,0.005,0.14,0.07,1.4
"Peach, yellow, unpeeled, raw",1.72,0.007,0.861,0,0,0.001,0,0,0.14,0.02,0,0.007,0.05,0.22,0.001,0,0.08,0,2.1
"Peach, canned in pear juice",1.84,0.006,0.874,0,0,0.005,0,0,0.38,0.1,0,0.004,0.04,0.14,0.002,0.003,0.07,0.08,1.41
"Peach, canned in pear juice, drained",1.91,0.008,0.867,0,0,0.006,0,0,0.63,0.09,0,0.007,0.04,0.16,0.002,0.003,0.07,0.07,1.21
"Peach, canned in pear juice, juice only",1.74,0.004,0.884,0,0,0.003,0,0,0,0.12,0,0,0.04,0.1,0.002,0.004,0.07,0.1,1.7
"Pear, Packham's triumph, unpeeled, raw",2.31,0.004,0.848,0,0,0,0,0,0.04,0.02,0,0.003,0.08,0.12,0.001,0.001,0.07,0,1.2
"Pear, William Bartlett, unpeeled, raw",2.28,0.003,0.847,0,0,0.001,0,0,0.04,0.06,0,0.003,0.06,0.11,0.001,0.002,0.07,0.01,1.06
"Pear, green skin, unpeeled, raw",2.78,0.004,0.842,0,0,0,0,0,0.04,0.02,0,0.002,0.08,0.12,0.001,0,0.07,0,1.3
"Pear, brown skin, unpeeled, raw",2.64,0.003,0.81,0,0,0.001,0,0,0.02,0.04,0,0.002,0.06,0.12,0.001,0.002,0.07,0.02,1
"Pear, canned in pear juice",1.94,0.005,0.866,0,0,0.001,0,0,0.01,0.01,0,0.002,0.06,0.11,0.002,0.003,0.06,0.06,1
"Pear, canned in pear juice, drained",2,0.006,0.856,0,0,0.002,0,0,0,0.01,0,0.002,0.05,0.11,0.003,0.004,0.08,0.06,1.02
"Pear, canned in pear juice, juice only",1.85,0.002,0.882,0,0,0,0,0,0.03,0.01,0,0.002,0.06,0.12,0.002,0.003,0.05,0.06,0.95
"Pear, nashi, unpeeled, raw",2.09,0.004,0.867,0,0,0,0,0,0,0.02,0,0,0.05,0.11,0.002,0,0.08,0.07,1.3
"Persimmon, peeled, raw",2.98,0.006,0.797,0,0.001,0.007,0.001,0,1.38,0.14,0,0.007,0.29,0.17,0.001,0.007,0.1,0.06,1.3
"Pineapple, peeled, raw",1.52,0.005,0.884,0,0,0.002,0,0,0,0.39,0,0,0.09,0.08,0.002,0,0.15,0,1.6
"Pineapple, canned in juice, drained",1.9,0,0.855,0.001,0,0,0.001,0,0.03,0.23,0,0,0.09,0.08,0.001,0.002,0.11,0.01,1.2
"Pineapple, canned in pineapple juice",2.36,0.005,0.847,0.001,0,0.001,0.001,0,0.01,0.06,0,0,0.04,0.1,0,0.004,0.11,0.05,1.21
"Pineapple, canned in pineapple juice, juice only",1.87,0.003,0.865,0,0,0.002,0.001,0,0,0.09,0,0.002,0.06,0.08,0.003,0.003,0.12,0.01,1.6
"Pineapple, canned in syrup",3.6,0.003,0.764,0.001,0,0.001,0.001,0,0.01,0.08,0,0,0.04,0.03,0,0.004,0.11,0.06,0.8
"Pineapple, canned in syrup, drained",2.96,0,0.797,0.001,0,0,0.001,0,0.03,0.05,0,0,0.09,0.08,0.001,0.002,0.11,0.01,1.2
"Pineapple, canned in syrup, syrup only",3.7,0.003,0.756,0,0,0.002,0,0,0,0.09,0,0,0.05,0,0.002,0.003,0.09,0.01,0.9
"Plum, unpeeled, raw",1.62,0.006,0.878,0,0,0.007,0.001,0,0.25,0.05,0,0.008,0.07,0.2,0.001,0.002,0.06,0.02,1.53
"Plum, dark, canned in syrup",3.71,0.004,0.75,0,0,0.001,0,0,0.11,0,0,0.008,0.04,0.08,0.001,0.002,0.04,0.03,0.96
"Plum, dark, canned in syrup, drained",3.86,0.005,0.746,0,0,0.001,0.001,0,0.22,0,0,0.015,0.04,0.1,0.001,0.002,0.05,0.04,0.96
"Plum, dark, canned in syrup, syrup only",3.54,0.003,0.755,0,0,0,0,0,0,0,0,0,0.03,0.07,0.001,0.002,0.04,0.02,0.97
"Pomegranate, peeled, raw",3.29,0.019,0.762,0,0,0.008,0.001,0,0.11,0.14,0,0.006,0.14,0.36,0.004,0.005,0.09,0.04,2.1
"Prickly pear, peeled, raw",2.04,0.004,0.839,0,0,0.005,0.001,0,0.08,0.18,0,0.005,0.48,0.24,0.006,0.004,0.29,0.01,1.9
Prune (dried plum),8.41,0.023,0.371,0,0,0.014,0.002,0,0.72,0.02,0,0.004,0.52,0.58,0.008,0.011,0.42,0.07,7
"Quandong, fruit, flesh",2.13,0.025,0.719,0,0,0.013,0,0,0.1,0.2,0.001,0.007,0.07,0.11,0,0,0.28,1.16,7.47
"Quince, peeled, raw",2.42,0.005,0.816,0,0,0.006,0,0,0.08,0.39,0,0.002,0.08,0.17,0.005,0.001,0.09,0.16,2.2
Raisin,12.26,0.032,0.21,0.003,0,0.004,0,0,0.05,0,0,0.002,0.53,0.84,0.004,0.012,0.35,0.1,6.8
"Rambutan, raw",3.12,0.01,0.795,0,0.001,0.01,0,0,0,0.7,0,0.005,0.08,0.09,0.006,0.001,0.1,0.02,1.4
"Raspberry, raw",2.04,0.011,0.858,0,0,0.005,0.001,0,0.04,0.29,0,0.007,0.26,0.34,0.003,0.005,0.2,0.01,1.56
"Raspberry, purchased frozen",2.04,0.011,0.858,0,0,0.005,0.001,0,0.04,0.2,0,0.007,0.24,0.34,0.003,0.005,0.2,0.01,1.41
"Raspberry, canned in syrup",3.15,0.006,0.787,0,0,0.001,0,0,0.01,0.05,0,0.003,0.1,0.13,0.001,0.01,0.09,0.05,0.78
"Raspberry, canned in syrup, drained",3.43,0.01,0.751,0,0,0.002,0.001,0,0.02,0.05,0,0.007,0.18,0.25,0.002,0.013,0.12,0.06,0.77
"Raspberry, canned in syrup, syrup only",2.96,0.002,0.812,0,0,0,0,0,0,0.05,0,0,0.05,0.05,0.001,0.007,0.07,0.04,0.78
"Rhubarb, stalk, raw",0.94,0.015,0.929,0.001,0,0.01,0,0,0.17,0.08,0,0.003,0.26,0.14,0.003,0.003,0.1,0.12,1.3
"Strawberry, raw",1.08,0.007,0.921,0,0.001,0.003,0,0,0,0.45,0,0.003,0.22,0.24,0.002,0.006,0.08,0,1.85
"Strawberry, purchased frozen",1.08,0.007,0.921,0,0.001,0.003,0,0,0,0.32,0,0.003,0.21,0.24,0.002,0.006,0.08,0,1.66
"Strawberry, canned in syrup",3.35,0.004,0.776,0,0,0.001,0,0,0.01,0.12,0,0.001,0.14,0.13,0,0.013,0.06,0.08,0.93
"Strawberry, canned in syrup, drained",3.53,0.009,0.762,0,0,0.002,0,0,0.02,0.12,0,0.002,0.19,0.2,0.001,0.019,0.07,0.1,0.9
"Strawberry, canned in syrup, syrup only",3.21,0.001,0.787,0,0,0,0,0,0,0.13,0,0,0.11,0.08,0,0.008,0.06,0.07,0.95
Sultana,12.95,0.026,0.164,0.001,0,0.003,0.001,0,0,0,0,0.002,0.52,0.8,0.004,0.019,0.35,0.07,9.55
"Tamarillo, peeled, raw",1.5,0.02,0.862,0,0,0.007,0.003,0,1.55,0.15,0,0.019,0.08,0.4,0.002,0.007,0.16,0.01,2.8
"Tangelo, peeled, raw",1.72,0.006,0.859,0.001,0,0.003,0.001,0,0.49,0.28,0,0.001,0.22,0.19,0.003,0.003,0.1,0.04,1.4
"Tangerine or tangor, peeled, raw",1.8,0.01,0.862,0.001,0,0.004,0,0,0.17,0.44,0,0.004,0.26,0.2,0.001,0.002,0.09,0.02,1.5
"Wax jambu, raw",1.09,0.007,0.903,0,0,0.006,0,0,0,0.08,0,0,0.13,0.1,0.001,0.008,0.05,0.01,0.38
"Lime, native, fruit",1.37,0.001,0.877,0,0,0.002,0,0,0.05,3.47,0,0.002,0.32,0.08,0,0,0.1,0.04,0.83
"Plum, davidson (native), flesh",2.8,0.01,0.782,0,0,0.008,0.001,0,0.13,0.3,0,0.008,0.16,0.18,0,0,0.27,0.45,3.64
"Plum, salted",8.57,0.037,0.179,0,0,0.02,0,0,0.08,0,0,0.013,1.3,0.5,0.004,0.13,1.2,84,6.1
"Baked beans, canned in tomato sauce",3.34,0.048,0.75,0,0,0.015,0,0,0.05,0.02,0,0.003,0.39,0.86,0.005,0.01,0.27,3.78,2.4
"Baked beans, canned in tomato sauce, reduced salt",3.54,0.048,0.75,0,0,0.012,0,0,0.05,0.02,0,0.003,0.39,0.86,0.005,0.01,0.27,2.94,2.4
"Bean, broad, dried",13,0.243,0.106,0.007,0.001,0.06,0.002,0,0.05,0.01,0,0.012,1.08,3.62,0.024,0.037,1.4,0.21,10.62
"Bean, haricot, dried",12.2,0.219,0.112,0.004,0.001,0.076,0.003,0,0,0.01,0,0.004,1.5,4,0.024,0.064,1.6,0.04,12.9
"Bean, haricot, dried, boiled, drained",4.64,0.082,0.679,0.001,0.001,0.028,0.001,0,0,0,0,0.002,0.57,1.3,0.009,0.021,0.49,0.08,3.4
"Bean, lima, dried",12.99,0.214,0.097,0.004,0.001,0.055,0.008,0,0,0,0,0.008,0.55,3.2,0.027,0.057,1.7,0.03,19
"Bean, lima, dried, boiled, drained",3.55,0.064,0.737,0.001,0,0.016,0.002,0,0,0,0,0.002,0.16,0.76,0.007,0.013,0.35,0.07,3.5
"Bean, mung, whole, dried, uncooked",13.2,0.245,0.103,0.003,0,0.071,0.003,0,0.11,0.05,0,0.005,0.89,4.99,0.028,0.04,1.84,0.01,12.5
"Bean, red kidney, dried",12.5,0.225,0.093,0.004,0.002,0.076,0.005,0,0.01,0,0,0.003,0.95,5.2,0.03,0.056,1.4,0.03,14.7
"Bean, red kidney, dried, boiled, drained",3.82,0.079,0.711,0.001,0,0.02,0.001,0,0,0,0,0.001,0.34,1.3,0.01,0.017,0.38,0.08,2.9
"Bean, red kidney, fresh, raw",5.61,0.128,0.616,0.002,0.001,0.046,0.001,0,0.07,0.27,0,0,0.12,1,0.01,0.024,0.18,0.03,4.9
"Bean, red kidney, fresh, boiled, drained",6.04,0.138,0.587,0.001,0.001,0.05,0.001,0,0.06,0.19,0,0,0.11,0.97,0.009,0.022,0.15,0.02,3.95
"Bean, red kidney, canned, drained",4.41,0.066,0.698,0.001,0.001,0.02,0.001,0,0,0,0,0.001,0.36,1,0.006,0.021,0.3,3.2,2.7
"Chickpea, dried",13.73,0.197,0.083,0.006,0,0.046,0.026,0,0.11,0.03,0,0.017,1.59,2.96,0.031,0.046,1.34,0.11,3.96
"Chickpea, dried, boiled, drained",4.99,0.072,0.666,0.002,0,0.017,0.009,0,0.04,0.01,0,0.006,0.58,1.08,0.011,0.017,0.49,0.04,1.44
"Chickpea, canned, drained",4.74,0.063,0.668,0,0,0.018,0.001,0,0.04,0,0,0.019,0.45,0.86,0.01,0.018,0.27,2.5,1.4
"Lentil, French, hulled, dry",13.53,0.283,0.108,0.005,0,0.051,0.004,0,0.04,0.04,0,0.01,0.55,2.52,0.023,0.054,0.91,0.02,6.7
"Lentil, green, hulled, dry",13.3,0.253,0.118,0.002,0,0.047,0.004,0,0.04,0.04,0,0.007,0.56,2.86,0.016,0.056,0.95,0.13,6.7
"Lentil, red, hulled, dry",13.64,0.23,0.089,0.004,0,0.046,0.003,0,0.06,0.02,0,0.01,0.7,2.38,0.016,0.091,0.94,0.02,6.7
"Lentil, hulled, dry",13.49,0.255,0.105,0.004,0,0.048,0.004,0,0.04,0.04,0,0.009,0.6,2.59,0.018,0.067,0.93,0.06,6.7
"Lentil, dried, boiled, drained",3.85,0.073,0.744,0.001,0,0.014,0.001,0,0.01,0.01,0,0.002,0.15,0.66,0.004,0.016,0.21,0.01,1.44
"Lupin, dehulled, splits, uncooked",13.2,0.375,0.072,0.007,0,0.07,0.001,0,0.33,0.02,0,0.025,0.84,4.1,0.036,0.043,1.89,0.5,7.3
"Lupin, dehulled, flakes, uncooked",12.95,0.369,0.097,0.006,0,0.072,0.001,0,0.33,0.02,0,0.023,0.81,4.04,0.035,0.04,1.88,0.5,7.15
"Lupin, whole, uncooked",11.82,0.286,0.08,0.006,0,0.061,0.001,0,0.33,0.02,0,0.023,2.11,3.02,0.034,0.039,1.71,0.5,5.7
"Pea, split, dried",14.27,0.23,0.107,0.009,0.002,0.058,0.001,0,0.16,0,0,0.007,0.42,3.3,0.025,0.038,0.95,0.07,9.3
"Pea, split, dried, boiled, drained",3.64,0.066,0.725,0.001,0,0.017,0,0,0.05,0,0,0.002,0.13,0.78,0.006,0.01,0.23,0.09,1.4
"Pea, green, whole, dried",12.97,0.22,0.117,0.009,0,0.066,0.003,0,0.42,0.02,0,0.001,0.56,4.1,0.036,0.059,1.21,0.05,9.9
"Pea, yellow, whole, dried",13.61,0.233,0.1,0.009,0,0.069,0.001,0,0.42,0.02,0,0.002,0.59,3.21,0.025,0.048,1.13,0.12,9.9
"Beef, all cuts, separable fat, raw",24.78,0.121,0.254,0,0.001,0.037,0.003,0.029,0.42,0,0.01,0.007,0.06,0.87,0.009,0.013,0.09,0.25,1.6
"Beef, all cuts, separable fat, cooked, no added fat",23.17,0.153,0.277,0,0.001,0.035,0.004,0.021,0.22,0,0.006,0.013,0.08,1,0.013,0.01,0.11,0.29,1.6
"Beef, casserole meat, boneless or bone-in, shin, lean, raw",3.94,0.219,0.76,0,0.001,0.05,0.001,0.014,0.01,0,0.038,0,0.09,1.9,0.049,0.019,0.24,0.69,3.7
"Beef, casserole meat, boneless or bone-in, shin, lean, casseroled, no added fat",6.82,0.338,0.628,0.001,0.001,0.046,0.001,0.02,0,0,0.007,0,0.14,2,0.075,0.022,0.25,0.6,3.2
"Beef, casserole meat, boneless or bone-in, shin, semi-trimmed, raw",4.57,0.216,0.745,0,0.001,0.05,0.001,0.014,0.02,0,0.037,0,0.09,1.87,0.048,0.019,0.24,0.68,3.64
"Beef, casserole meat, boneless or bone-in, shin, semi-trimmed, casseroled, no added fat",7.64,0.329,0.61,0,0.001,0.045,0.001,0.02,0.01,0,0.007,0.001,0.14,1.95,0.072,0.021,0.24,0.58,3.12
"Beef, casserole meat, boneless or bone-in, shin, untrimmed, casseroled, no added fat",9.6,0.306,0.568,0,0.001,0.044,0.001,0.02,0.04,0,0.007,0.002,0.13,1.83,0.065,0.02,0.23,0.55,2.93
"Beef, casserole meat, boneless or bone-in, shin, untrimmed, raw",5.19,0.213,0.73,0,0.001,0.049,0.001,0.014,0.04,0,0.036,0,0.09,1.84,0.047,0.019,0.23,0.66,3.57
"Beef, boneless dice or strips, lean, raw",5.55,0.276,0.717,0,0.001,0.068,0.002,0.011,0.02,0.01,0.038,0.005,0.04,2.4,0.057,0.017,0.24,0.38,3.4
"Beef, boneless dice or strips, lean, stir-fried, no added fat",6.48,0.315,0.658,0,0.001,0.073,0.001,0.013,0.02,0,0.007,0.007,0.04,2.6,0.072,0.028,0.23,0.47,3.6
"Beef, boneless dice or strips, lean, casseroled, no added fat",7.45,0.37,0.62,0,0.001,0.091,0.001,0.009,0.02,0.01,0.046,0.005,0.05,2.1,0.077,0.023,0.21,0.28,2.51
"Beef, boneless dice or strips, untrimmed, raw",5.87,0.273,0.709,0,0.001,0.067,0.002,0.012,0.02,0.01,0.038,0.005,0.04,2.37,0.056,0.017,0.24,0.38,3.37
"Beef, boneless dice or strips, untrimmed, stir-fried, no added fat",6.67,0.313,0.653,0,0.001,0.073,0.001,0.013,0.02,0,0.007,0.007,0.04,2.58,0.071,0.028,0.23,0.47,3.58
"Beef, boneless dice or strips, untrimmed, casseroled, no added fat",7.63,0.367,0.616,0,0.001,0.091,0.001,0.009,0.02,0.01,0.046,0.006,0.05,2.08,0.076,0.023,0.21,0.28,2.5
"Beef, steak, boneless or bone-in, blade, lean, raw",4.74,0.222,0.728,0.001,0.002,0.061,0.001,0.009,0.02,0.01,0.038,0.005,0.04,2,0.046,0.019,0.24,0.56,3.4
"Beef, steak, boneless or bone-in, blade, lean, grilled, no added fat",6.5,0.319,0.65,0,0,0.054,0.001,0.011,0.02,0,0.007,0.007,0.06,2.6,0.06,0.026,0.3,0.48,4
