database_ingredient,Energy,Protein,Total water,Thiamin (B1),Riboflavin (B2),Niacin,Pyridoxine (B6),Cobalamin (B12),Vitamin A,Vitamin C,Vitamin D,Vitamin E,Calcium,Phosphorus,Zinc,Iron,Magnesium,Sodium,Potassium
"Biscuit, savoury, from white wheat flour, flavoured (excluding cheese)",20.98,0.096,0.021,0.002,0.001,0.023,0.001,0.001,0.01,0.04,0,0.049,0.56,2.08,0.009,0.014,0.34,8.54,1.95
"Biscuit, savoury, from white wheat flour, plain snack cracker style",20.58,0.081,0.025,0.002,0,0.015,0,0,0,0.06,0,0.041,0.41,1.98,0.008,0.011,0.24,6.09,1.56
"Biscuit, savoury, from wheat flour, crispbread, puffed & toasted",15.63,0.123,0.062,0.002,0.001,0.038,0,0,0.4,0,0,0,0.44,1.4,0.011,0.013,0.41,3.8,2
"Biscuit, savoury, from white wheat flour, Salada style",17.85,0.092,0.035,0.002,0.001,0.036,0,0,0.05,0,0,0.019,1.52,1.2,0.009,0.03,0.33,8.3,1.7
"Biscuit, savoury, from white wheat flour, water cracker style",16.5,0.104,0.031,0.002,0,0.021,0,0,0.02,0,0,0.008,0.46,1.2,0.008,0.015,0.35,5.6,1.7
"Biscuit, savoury, from white wheat flour, flaky cracker style",20.67,0.115,0.035,0.002,0.001,0.038,0.001,0,0.19,0,0,0.015,0.35,1.55,0.008,0.018,0.3,6.39,1.66
"Biscuit, savoury, from wholemeal wheat flour, crispbread",15.67,0.106,0.028,0.002,0,0.07,0,0,0,0,0,0.016,0.33,2.5,0.016,0.023,0.94,4.5,3.5
"Biscuit, savoury, from wholemeal wheat flour & rye flour, crispbread, puffed",16.11,0.14,0.052,0.004,0.001,0.073,0.002,0,0.02,0,0,0.003,0.47,2.56,0.016,0.032,0.81,3.64,3.26
"Biscuit, savoury, corn cake, plain, salted",15.47,0.098,0.03,0,0,0.024,0,0,0,0,0,0.002,0.03,1.8,0.015,0.013,0.79,2.4,1.8
"Biscuit, savoury, from rye flour, crispbread",13.56,0.088,0.051,0.003,0,0.015,0,0,0,0,0,0.002,0.38,2.8,0.018,0.024,0.84,2.4,4.5
"Biscuit, savoury, rice cake, from brown rice, plain",16.03,0.088,0.054,0.001,0,0.083,0,0.002,0,0,0,0.006,0.09,3.4,0.018,0.013,1.3,0.41,2.7
"Biscuit, savoury, seed based",23.95,0.201,0.019,0.002,0.001,0.095,0,0,0,0,0,0.069,1.1,6.8,0.05,0.059,3.5,5,6.1
"Biscuit, sweet, plain",18.12,0.064,0.03,0.001,0,0.012,0,0.001,0.31,0.06,0,0.032,0.3,0.88,0.005,0.013,0.22,2.89,1.49
"Biscuit, sweet, Anzac style, homemade from basic ingredients",19.7,0.046,0.036,0.001,0,0.017,0.001,0,0.97,0,0.002,0.005,0.15,0.81,0.006,0.009,0.29,2.1,1.31
"Biscuit, sweet, breakfast style, with or without dried fruit",17.01,0.075,0.042,0.002,0,0.023,0,0.001,0,0,0,0.046,0.3,1.8,0.011,0.017,0.54,2.7,1.9
"Biscuit, sweet, shortbread style, commercial",21.1,0.062,0.028,0.001,0,0.01,0,0,1.77,0,0.001,0.011,0.33,0.78,0.005,0.008,0.19,2.7,1.1
"Biscuit, sweet, chocolate chip or coated",19.79,0.058,0.024,0,0.001,0.009,0,0.002,0.2,0.02,0,0.015,0.46,1.1,0.007,0.027,0.41,2.1,2.2
"Biscuit, sweet, cream filled, commercial",19.44,0.054,0.021,0.001,0,0.007,0,0,0.04,0,0,0.024,0.3,0.9,0.005,0.013,0.28,3.3,1.4
"Biscuit, sweet, biscuit base, caramel filling, chocolate-coated, commercial",18.43,0.056,0.048,0.001,0.002,0.008,0,0.001,0.38,0,0,0.009,0.82,1.3,0.006,0.015,0.38,1.8,2.9
"Biscuit, sweet, biscuit base, mint filling, chocolate-coated",21.88,0.063,0.026,0.001,0.002,0.016,0,0,0.21,0,0,0.039,1.35,1.44,0.009,0.018,0.28,1.17,2.34
"Biscuit, sweet, sandwich, cream filling, chocolate-coated, tim tam style",20.8,0.054,0.012,0.001,0.002,0.01,0,0,0.21,0,0,0.017,0.9,1.2,0.006,0.017,0.34,1.68,2.4
"Biscuit, sweet, sandwich, cream & jam filling",19.74,0.04,0.05,0,0,0.022,0,0.001,0.02,0,0,0.039,0.27,0.66,0.005,0.009,0.14,2.6,0.85
"Biscuit, sweet, wheatmeal",17.28,0.078,0.03,0.001,0,0.044,0,0.001,0.1,0,0,0.039,0.3,1.74,0.012,0.021,0.46,4.23,1.67
"Cone, wafer style, for ice cream",14.74,0.079,0.085,0,0,0.038,0.001,0,0.01,0,0,0.006,0.26,1.39,0.005,0.022,0.26,3.27,1.37
"Breadcrumbs, white",15.98,0.14,0.073,0.008,0.001,0.062,0.001,0.001,0,0,0,0.005,1.24,1.42,0.012,0.02,0.43,6.5,1.93
"Bread roll, from white flour",10.44,0.093,0.344,0.004,0,0.05,0.001,0,0,0,0,0.01,1.07,1,0.008,0.013,0.29,3.8,1.37
"Bread, wrap, white, commercial",12.66,0.078,0.31,0.006,0,0.013,0,0,0,0,0,0.003,0.39,2.1,0.005,0.01,0.24,6.1,1.5
"Bread, from white flour, sour dough, commercial",9.61,0.088,0.388,0.007,0,0.037,0.001,0,0,0,0,0,0.21,0.8,0.007,0.011,0.31,4.9,1.3
"Bread, from white flour, sour dough, commercial, toasted",11.44,0.104,0.271,0.007,0,0.045,0.001,0,0,0,0,0,0.25,0.95,0.008,0.013,0.37,5.83,1.55
"Bread, from wholemeal flour",9.93,0.104,0.392,0.006,0.001,0.048,0.001,0,0,0,0,0.002,1.33,1.56,0.012,0.02,0.63,4.18,2.12
"Bread, Naan, commercial",12.24,0.08,0.332,0.005,0.001,0.026,0,0.003,0.06,0,0,0.008,1.2,2.4,0.006,0.011,0.28,6.3,1.6
"Bread, pizza base, commercial",11.09,0.086,0.348,0.008,0.001,0.026,0,0.003,0,0,0,0.002,0.7,0.98,0.007,0.009,0.28,3.9,1.4
"Bread, tortilla, white, commercial",12.63,0.073,0.289,0.005,0,0.013,0,0,0,0,0,0.003,0.37,2.2,0.004,0.008,0.22,7.5,1.1
"Bread, damper, from white flour, homemade",10.84,0.075,0.347,0.003,0,0.032,0,0,0.29,0,0,0.006,0.53,3.3,0.007,0.008,0.25,6.3,1.5
